date,location,block,pasture,patch,subpatch,plot,array,arrayID,sample,LAI,SoilMoisture,FuelMoisture
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,1,1,1,NA,NA,34,0.22175732217573213
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,1,1,2,NA,NA,34.8,0.2914438502673796
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,1,1,3,NA,NA,32.3,0.4200542005420055
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,1,2,1,NA,NA,36.2,0.12826603325415678
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,1,2,2,NA,NA,33.2,0.2178301093355761
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,1,2,3,NA,NA,35.4,0.20956719817767655
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,1,3,1,NA,NA,36.2,0.3608247422680413
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,1,3,2,NA,NA,35.1,0.1750700280112046
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,1,3,3,NA,NA,30.7,0.16799999999999998
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,2,1,1,NA,NA,22.9,0.30191256830601076
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,2,1,2,NA,NA,22.6,0.6739130434782609
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,2,1,3,NA,NA,19.8,0.23484848484848472
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,2,2,1,NA,NA,23.4,0.28846153846153844
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,2,2,2,NA,NA,20.9,0.3227091633466136
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,2,2,3,NA,NA,22.9,0.21818181818181823
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,2,3,1,NA,NA,20.9,0.2368421052631578
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,2,3,2,NA,NA,23.4,0.3999999999999999
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,2,3,3,NA,NA,22.6,0.19092331768388118
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,3,1,1,NA,NA,24.3,0.8695652173913043
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,3,1,2,NA,NA,24.5,0.18443804034582134
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,3,1,3,NA,NA,28.2,0.2666666666666667
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,3,2,1,NA,NA,30.4,0.3409090909090909
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,3,2,2,NA,NA,29,0.40952380952380946
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,3,2,3,NA,NA,24.3,0.5999999999999999
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,3,3,1,NA,NA,30.9,0.31451612903225806
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,3,3,2,NA,NA,24,0.42537313432835805
2019-05-07T00:00:00Z,CGREC,BAR,NE,SW,W,3,3,3,NA,NA,23.2,1.0086206896551726
2019-05-07T00:00:00Z,CGREC,BAR,NW,NE,NA,1,1,1,NA,NA,NA,0.3375394321766563
